CoordinateX;CoordinateY;Banda;NVolte

981;391;GENOVESE;9
4997;988;CORLEONE;3
976;368;GENOVESE;3
979;208;GENOVESE;8
533;1506;TATTAGLIA;3
5041;226;SOPRANO;1
4922;285;SOPRANO;5
4009;276;GAMBINO;0
3000;1600;CAPONE;6
5042;1046;CORLEONE;9
2999;1602;CAPONE;10
4028;159;GAMBINO;6
3061;1573;CAPONE;7
500;1502;TATTAGLIA;10
541;1474;TATTAGLIA;3
2914;1587;CAPONE;4
448;1503;TATTAGLIA;2
444;1475;TATTAGLIA;9
1010;235;GENOVESE;0
3091;1595;CAPONE;4
991;310;GENOVESE;2
951;293;GENOVESE;8
4933;942;CORLEONE;5
3029;1533;CAPONE;10
5002;999;CORLEONE;8
4967;1065;CORLEONE;9
1000;332;GENOVESE;4
979;323;GENOVESE;0
968;370;GENOVESE;9
514;1509;TATTAGLIA;7
4934;247;SOPRANO;5
5021;986;CORLEONE;8
5030;905;CORLEONE;7
4996;1001;CORLEONE;7
1023;342;GENOVESE;8
1008;328;GENOVESE;4
1037;232;GENOVESE;8
501;1555;TATTAGLIA;1
5042;237;SOPRANO;2
479;1552;TATTAGLIA;4
3027;1694;CAPONE;1
4976;1008;CORLEONE;2
490;1486;TATTAGLIA;2
3976;186;GAMBINO;4
5063;956;CORLEONE;1
2947;1640;CAPONE;1
1083;273;GENOVESE;0
2910;1640;CAPONE;3
2983;1619;CAPONE;3
994;298;GENOVESE;5
1004;389;GENOVESE;1
996;314;GENOVESE;10
994;302;GENOVESE;2
4994;229;SOPRANO;8
961;209;GENOVESE;10
3019;1578;CAPONE;0
5017;265;SOPRANO;9
3940;267;GAMBINO;0
5008;243;SOPRANO;10
524;1508;TATTAGLIA;1
5000;252;SOPRANO;2
570;1432;TATTAGLIA;9
4050;132;GAMBINO;7
3012;1625;CAPONE;3
5076;1055;CORLEONE;8
1060;233;GENOVESE;2
2962;1577;CAPONE;1
2951;1553;CAPONE;1
500;1482;TATTAGLIA;1
4052;231;GAMBINO;5
467;1509;TATTAGLIA;4
1020;307;GENOVESE;4
4914;207;SOPRANO;4
1009;253;GENOVESE;6
5006;1007;CORLEONE;8
5083;273;SOPRANO;0
5000;1001;CORLEONE;9
914;333;GENOVESE;4
4059;166;GAMBINO;6
963;231;GENOVESE;7
3090;1603;CAPONE;8
516;1434;TATTAGLIA;7
595;1471;TATTAGLIA;10
5000;1000;CORLEONE;5
3996;205;GAMBINO;9
4948;977;CORLEONE;9
5000;1001;CORLEONE;1
4990;219;SOPRANO;4
5052;976;CORLEONE;2
3959;186;GAMBINO;2
432;1513;TATTAGLIA;8
502;1488;TATTAGLIA;0
5068;237;SOPRANO;8
565;1441;TATTAGLIA;8
5077;219;SOPRANO;4
5007;338;SOPRANO;5
4942;188;SOPRANO;8
2963;1606;CAPONE;3
4939;1038;CORLEONE;0
4991;232;SOPRANO;10
453;1500;TATTAGLIA;5
4966;984;CORLEONE;4
3941;184;GAMBINO;1
4007;206;GAMBINO;3
4023;103;GAMBINO;5
3982;261;GAMBINO;7
5041;206;SOPRANO;5
4975;286;SOPRANO;7
5006;998;CORLEONE;10
1078;297;GENOVESE;0
4994;260;SOPRANO;6
1046;233;GENOVESE;10
5003;998;CORLEONE;3
3002;1604;CAPONE;5
4999;1076;CORLEONE;9
2932;1613;CAPONE;9
2907;1596;CAPONE;2
4999;311;SOPRANO;1
983;278;GENOVESE;10
5041;228;SOPRANO;0
4005;203;GAMBINO;4
4949;249;SOPRANO;9
5007;278;SOPRANO;1
985;300;GENOVESE;6
4000;200;GAMBINO;9
2961;1609;CAPONE;8
1008;296;GENOVESE;10
3005;1599;CAPONE;7
415;1463;TATTAGLIA;10
5035;260;SOPRANO;0
2997;1546;CAPONE;10
1000;301;GENOVESE;2
911;315;GENOVESE;0
3964;238;GAMBINO;0
558;1453;TATTAGLIA;7
5079;290;SOPRANO;6
5000;246;SOPRANO;9
528;1463;TATTAGLIA;9
463;1538;TATTAGLIA;9
3027;1609;CAPONE;7
3998;127;GAMBINO;10
443;1541;TATTAGLIA;5
3000;1599;CAPONE;3
4998;250;SOPRANO;7
5034;290;SOPRANO;10
4962;261;SOPRANO;10
2994;1653;CAPONE;6
2957;1659;CAPONE;5
1038;314;GENOVESE;9
3060;1561;CAPONE;0
5052;916;CORLEONE;1
465;1486;TATTAGLIA;8
3989;294;GAMBINO;2
2998;1525;CAPONE;0
3020;1575;CAPONE;10
5000;250;SOPRANO;10
3921;147;GAMBINO;9
3940;216;GAMBINO;0
4939;1039;CORLEONE;0
3963;188;GAMBINO;10
4986;1017;CORLEONE;0
4004;235;GAMBINO;0
5049;217;SOPRANO;6
5022;1061;CORLEONE;5
971;328;GENOVESE;7
1010;284;GENOVESE;8
4952;933;CORLEONE;10
502;1488;TATTAGLIA;6
4997;1019;CORLEONE;8
554;1550;TATTAGLIA;0
4967;931;CORLEONE;7
3031;1637;CAPONE;8
4011;162;GAMBINO;3
5035;201;SOPRANO;5
990;306;GENOVESE;1
988;317;GENOVESE;0
977;300;GENOVESE;4
5001;963;CORLEONE;8
507;1502;TATTAGLIA;5
3953;270;GAMBINO;6
1059;247;GENOVESE;9
3019;1514;CAPONE;9
5007;955;CORLEONE;4
1015;321;GENOVESE;4
534;1488;TATTAGLIA;0
2932;1636;CAPONE;7
945;267;GENOVESE;6
4067;218;GAMBINO;6
2989;1606;CAPONE;1
5060;304;SOPRANO;6
4997;262;SOPRANO;10
5000;246;SOPRANO;0
5052;225;SOPRANO;5
3005;1603;CAPONE;7
3979;230;GAMBINO;0
5026;318;SOPRANO;10
5040;256;SOPRANO;10
480;1452;TATTAGLIA;3
4965;1018;CORLEONE;6
3000;1600;CAPONE;1
3958;206;GAMBINO;2
4998;969;CORLEONE;9
3974;144;GAMBINO;2
2929;1556;CAPONE;1
2980;1618;CAPONE;6
419;1442;TATTAGLIA;1
977;341;GENOVESE;10
3015;1645;CAPONE;0
4090;188;GAMBINO;8
4932;217;SOPRANO;5
4998;1078;CORLEONE;9
3977;250;GAMBINO;4
991;288;GENOVESE;1
1013;326;GENOVESE;4
4910;233;SOPRANO;2
5010;250;SOPRANO;5
5025;266;SOPRANO;5
2994;1690;CAPONE;8
2941;1603;CAPONE;7
5070;932;CORLEONE;9
3059;1634;CAPONE;0
4000;194;GAMBINO;0
3022;1613;CAPONE;5
3044;1556;CAPONE;10
4999;253;SOPRANO;5
3930;203;GAMBINO;1
4024;292;GAMBINO;10
4949;1003;CORLEONE;6
3014;1594;CAPONE;6
5023;1007;CORLEONE;10
1000;300;GENOVESE;0
539;1468;TATTAGLIA;5
458;1488;TATTAGLIA;9
5057;253;SOPRANO;2
3027;1579;CAPONE;7
523;1519;TATTAGLIA;8
1050;262;GENOVESE;1
1037;317;GENOVESE;0
5073;259;SOPRANO;4
4990;1037;CORLEONE;4
5007;232;SOPRANO;0
4954;245;SOPRANO;8
3952;263;GAMBINO;4
3000;1605;CAPONE;9
5034;294;SOPRANO;7
3979;219;GAMBINO;8
539;1502;TATTAGLIA;8
5057;273;SOPRANO;1
2972;1678;CAPONE;0
5003;1016;CORLEONE;5
2981;1578;CAPONE;7
4993;280;SOPRANO;7
1020;350;GENOVESE;2
5045;1011;CORLEONE;4
3012;1615;CAPONE;7
4046;237;GAMBINO;10
4026;181;GAMBINO;4
5065;226;SOPRANO;9
2992;1588;CAPONE;2
2981;1674;CAPONE;10
409;1521;TATTAGLIA;2
5059;291;SOPRANO;8
2909;1562;CAPONE;7
5047;983;CORLEONE;4
5014;214;SOPRANO;3
5012;252;SOPRANO;7
1059;321;GENOVESE;9
565;1430;TATTAGLIA;4
531;1547;TATTAGLIA;6
505;1512;TATTAGLIA;5
4933;315;SOPRANO;2
4903;1013;CORLEONE;1
4029;144;GAMBINO;10
4995;1027;CORLEONE;2
5078;1038;CORLEONE;3
981;310;GENOVESE;6
585;1549;TATTAGLIA;2
2987;1617;CAPONE;1
5006;306;SOPRANO;3
915;290;GENOVESE;7
5017;929;CORLEONE;5
4948;953;CORLEONE;6
4983;311;SOPRANO;1
4942;228;SOPRANO;4
558;1514;TATTAGLIA;6
1017;287;GENOVESE;3
4998;276;SOPRANO;6
2983;1671;CAPONE;4
4963;992;CORLEONE;4
2979;1631;CAPONE;6
4948;274;SOPRANO;6
1015;286;GENOVESE;3
5033;970;CORLEONE;8
4929;1044;CORLEONE;0
503;1505;TATTAGLIA;9
430;1477;TATTAGLIA;3
1021;384;GENOVESE;9
4944;944;CORLEONE;1
3975;254;GAMBINO;8
3051;1555;CAPONE;8
4972;912;CORLEONE;4
4045;144;GAMBINO;7
3009;1519;CAPONE;8
4034;204;GAMBINO;8
1011;298;GENOVESE;9
2937;1533;CAPONE;5
3012;1589;CAPONE;8
4936;1032;CORLEONE;7
521;1424;TATTAGLIA;4
5004;265;SOPRANO;0
3038;1626;CAPONE;10
506;1515;TATTAGLIA;8
4085;166;GAMBINO;3
4017;197;GAMBINO;1
4925;987;CORLEONE;8
5049;972;CORLEONE;1
470;1465;TATTAGLIA;1
510;1490;TATTAGLIA;6
5000;1005;CORLEONE;5
4981;1064;CORLEONE;5
5052;190;SOPRANO;5
575;1491;TATTAGLIA;5
478;1553;TATTAGLIA;10
482;1568;TATTAGLIA;6
4981;274;SOPRANO;6
994;288;GENOVESE;10
3938;160;GAMBINO;6
495;1508;TATTAGLIA;0
5087;244;SOPRANO;8
4003;200;GAMBINO;7
4988;277;SOPRANO;5
4088;170;GAMBINO;6
921;240;GENOVESE;10
4961;965;CORLEONE;8
4965;997;CORLEONE;0
975;302;GENOVESE;3
3933;235;GAMBINO;3
3956;176;GAMBINO;8
497;1543;TATTAGLIA;8
2977;1579;CAPONE;3
969;284;GENOVESE;4
4985;984;CORLEONE;4
1082;264;GENOVESE;3
992;360;GENOVESE;3
477;1457;TATTAGLIA;3
4088;210;GAMBINO;0
4037;257;GAMBINO;0
5004;263;SOPRANO;6
3000;1643;CAPONE;1
445;1502;TATTAGLIA;6
510;1491;TATTAGLIA;6
5042;990;CORLEONE;3
2991;1606;CAPONE;9
4034;178;GAMBINO;10
507;1510;TATTAGLIA;2
3011;1507;CAPONE;6
4990;983;CORLEONE;5
5054;320;SOPRANO;10
4923;1052;CORLEONE;4
3030;1650;CAPONE;9
5000;1000;CORLEONE;2
980;346;GENOVESE;6
1095;276;GENOVESE;5
5082;295;SOPRANO;6
3002;1660;CAPONE;5
2994;1583;CAPONE;5
473;1538;TATTAGLIA;1
1080;326;GENOVESE;9
3998;201;GAMBINO;1
1009;290;GENOVESE;6
3037;1579;CAPONE;0
4997;251;SOPRANO;1
5006;256;SOPRANO;8
