TIME;CUSTOMER;OPERATION;EXTRA1;EXTRA2
00:03:55;980;ADD;53;8
00:04:00;290;ADD;52;6
00:04:39;290;DROP;52;5
00:04:55;290;ADD;52;3
00:05:02;290;ADD;38;2
00:05:36;844;ADD;38;8
00:05:47;290;DROP;38;2
00:06:19;290;ADD;38;8
00:06:48;290;ADD;21;3
00:06:49;290;DROP;21;2
00:06:59;290;ADD;21;8
00:07:11;290;CHECKOUT
00:07:12;672;ADD;33;5
00:07:52;672;DROP;33;2
00:09:16;373;ADD;42;4
00:09:47;487;ADD;58;7
00:10:01;487;DROP;58;6
00:10:08;965;ADD;29;9
00:10:17;949;ADD;42;1
00:10:21;346;ADD;36;5
00:11:00;487;CHECKOUT
00:11:04;844;ADD;38;7
00:11:47;606;ADD;9;5
00:11:54;550;ADD;54;2
00:12:08;980;DROP;53;1
00:12:16;949;ADD;42;5
00:12:31;67;ADD;14;5
00:12:38;568;ADD;4;6
00:12:51;801;ADD;53;9
00:12:52;86;ADD;3;9
00:12:57;688;ADD;18;7
00:13:03;672;ADD;33;1
00:13:33;606;DROP;9;2
00:13:46;981;ADD;35;7
00:13:51;304;ADD;57;4
00:13:54;346;DROP;36;3
00:14:11;304;ADD;57;5
00:14:12;992;ADD;55;4
00:14:29;801;ADD;53;1
00:14:43;257;ADD;15;1
00:14:45;97;ADD;5;2
00:14:52;304;CHECKOUT
00:14:59;171;ADD;58;2
00:14:59;694;ADD;37;3
00:15:07;672;ADD;56;8
00:15:25;257;ADD;43;9
00:15:35;969;ADD;58;4
00:15:44;801;ADD;56;5
00:15:55;993;ADD;45;8
00:16:05;688;ADD;33;9
00:16:09;550;ADD;56;4
00:16:33;981;DROP;35;5
00:16:38;666;ADD;52;3
00:16:55;666;ADD;52;8
00:17:11;977;ADD;16;3
00:17:16;949;ADD;10;8
00:17:29;989;ADD;51;2
00:17:34;536;ADD;9;1
00:17:35;993;DROP;45;4
00:17:40;574;ADD;37;8
00:17:55;385;ADD;45;6
00:17:56;606;ADD;9;9
00:18:00;145;ADD;32;7
00:18:30;949;DROP;10;5
00:18:30;992;DROP;55;1
00:18:33;711;ADD;1;2
00:18:44;556;ADD;10;2
00:18:45;257;DROP;43;8
00:18:45;550;ADD;56;2
00:18:48;346;ADD;36;3
00:18:51;574;DROP;37;4
00:18:58;67;DROP;14;5
00:19:04;878;ADD;44;2
00:19:37;346;CHECKOUT
00:19:42;385;DROP;45;4
00:19:44;878;ADD;44;9
00:19:44;949;CHECKOUT
00:19:50;993;ADD;45;5
00:20:01;993;ADD;38;6
00:20:02;171;ADD;58;3
00:20:06;550;ADD;48;8
00:20:07;174;ADD;1;7
00:20:09;451;ADD;41;5
00:20:10;582;ADD;19;9
00:20:18;801;DROP;56;2
00:20:24;582;DROP;19;3
00:20:25;582;ADD;20;5
00:20:33;980;ADD;12;8
00:20:37;946;ADD;12;2
00:20:38;568;ADD;4;4
00:20:49;582;DROP;20;3
00:20:50;385;ADD;55;7
00:20:54;801;ADD;56;4
00:20:55;582;ADD;20;3
00:21:00;600;ADD;35;5
00:21:05;385;ADD;55;8
00:21:10;582;ADD;54;8
00:21:18;582;ADD;54;2
00:21:22;946;DROP;12;1
00:21:23;550;DROP;48;7
00:21:33;993;CHECKOUT
00:21:34;582;CHECKOUT
00:21:39;38;ADD;33;6
00:22:02;992;ADD;55;2
00:22:07;844;CHECKOUT
00:22:11;550;ADD;48;8
00:22:20;981;ADD;10;3
00:22:34;171;ADD;5;3
00:22:38;600;ADD;49;8
00:22:44;600;ADD;27;5
00:22:51;600;DROP;27;2
00:23:22;946;ADD;12;9
00:23:26;666;ADD;25;7
00:23:50;145;DROP;32;2
00:23:51;698;ADD;34;2
00:23:56;529;ADD;38;8
00:23:59;606;ADD;30;2
00:23:59;729;ADD;57;5
00:24:08;946;ADD;32;3
00:24:30;946;DROP;32;1
