Data;tipoOperazione(pubblicazione);idAnnuncio;idAbitazione;M2;prezzoM2Proposto
Data;tipoOperazione(rimozione);idAnnuncio
Data;tipoOperazione(catasto);idProprietario;idAbitazione;M2;prezzoM2Vendita
2010_06_12;pubblicazione;1438;DONN;100;9961
2010_06_27;rimozione;1438
2010_09_05;catasto;1032;DONN;100;9263
2010_01_01;pubblicazione;61;BDXB;200;9229
2010_01_01;pubblicazione;136;AUKJ;300;7528
2010_01_01;pubblicazione;599;CYFT;180;7646
2010_01_01;pubblicazione;765;BVHW;200;9742
2010_01_01;pubblicazione;842;DEOK;120;3067
2010_01_01;pubblicazione;897;CWCY;100;2834
2010_01_01;pubblicazione;1039;CTNI;120;1047
2010_01_01;pubblicazione;1096;BPPA;100;6695
2010_01_01;pubblicazione;1394;DFHF;200;3336
2010_01_01;pubblicazione;1477;DMUB;120;4154
2010_01_01;pubblicazione;1743;DWPU;200;3831
2010_01_01;pubblicazione;1858;FIDJ;200;5599
2010_01_01;pubblicazione;1929;ELYY;300;3194
2010_01_02;pubblicazione;127;DOKJ;150;3628
2010_01_02;pubblicazione;150;FCXU;100;1103
2010_01_02;pubblicazione;431;DOAH;90;3555
2010_01_02;pubblicazione;505;AEUQ;200;6861
2010_01_02;pubblicazione;776;CCJA;150;8637
2010_01_02;pubblicazione;817;CCMI;200;2595
2010_01_02;pubblicazione;822;FNPY;180;6021
2010_01_02;pubblicazione;869;CPJB;50;2193
2010_01_02;pubblicazione;957;CQWY;120;2789
2010_01_02;pubblicazione;1057;BLCM;120;3335
2010_01_02;pubblicazione;1136;EENC;200;2366
2010_01_02;pubblicazione;1174;DDYJ;100;6255
2010_01_02;pubblicazione;1185;GEPQ;120;1354
2010_01_02;pubblicazione;1229;AXDF;100;5919
2010_01_02;pubblicazione;1243;DYQV;90;1795
2010_01_02;pubblicazione;1417;FPOR;100;7958
2010_01_02;pubblicazione;1418;AFOY;90;2189
2010_01_02;pubblicazione;1625;AMSC;300;8589
2010_01_03;pubblicazione;95;AFNY;150;8649
2010_01_03;pubblicazione;163;ATDY;100;2202
2010_01_03;pubblicazione;198;DUUT;300;6520
2010_01_03;pubblicazione;223;BURN;120;5664
2010_01_03;pubblicazione;391;CBCS;50;2647
2010_01_03;pubblicazione;956;BJKL;90;9424
