idImpianto;descCarburante;prezzo;isSelf;mese;giorno
14629;Benzina WR 100;1.699;1;3;1
30863;Metano;0.98;0;3;1
20559;Benzina WR 100;1.609;0;3;1
8239;Metano;0.9890000000000001;0;3;1
6855;Hi-Q Diesel;1.689;1;3;1
6855;Gasolio;1.589;0;3;1
6855;Gasolio;1.439;1;3;1
6855;Hi-Q Diesel;1.839;0;3;1
6855;Benzina;1.709;0;3;1
6855;Benzina;1.5590000000000002;1;3;1
36378;Benzina;1.6469999999999998;1;3;1
36378;Gasolio;1.517;0;3;1
36378;Gasolio;1.517;1;3;1
36378;Benzina;1.6469999999999998;0;3;1
37708;Hi-Q Diesel;1.659;0;3;1
36597;Gasolio;1.655;0;3;1
36597;Excellium Diesel;1.655;0;3;1
36597;Excellium Diesel;1.485;1;3;1
36597;Gasolio;1.405;1;3;1
38014;Excellium Diesel;1.536;0;3;1
38014;Benzina;1.585;0;3;1
38014;Gasolio;1.496;0;3;1
36694;Gasolio;1.489;1;3;1
36694;Benzina;1.609;1;3;1
36597;Benzina;1.755;0;3;1
36597;Benzina;1.505;1;3;1
37789;Gasolio;1.389;1;3;1
37789;Benzina;1.5190000000000001;1;3;1
10517;Excellium Diesel;1.565;0;3;1
10517;Benzina;1.5390000000000001;0;3;1
10517;Gasolio;1.459;0;3;1
16929;Benzina;1.719;0;3;1
16929;Gasolio;1.599;0;3;1
16929;Benzina;1.5490000000000002;1;3;1
16929;Gasolio;1.429;1;3;1
16929;Blue Diesel;1.5290000000000001;1;3;1
16929;Blue Diesel;1.699;0;3;1
28851;Benzina;1.679;0;3;1
28851;Gasolio;1.589;0;3;1
28851;Benzina;1.649;1;3;1
28851;Gasolio;1.569;1;3;1
25471;Gasolio;1.565;0;3;1
25471;Gasolio;1.565;1;3;1
39531;Gasolio;1.5390000000000001;0;3;1
39531;Gasolio;1.5390000000000001;1;3;1
39531;Blue Diesel;1.639;1;3;1
39531;Benzina;1.649;1;3;1
39531;Benzina;1.649;0;3;1
25471;Benzina;1.685;1;3;1
25471;Benzina;1.685;0;3;1
37686;Benzina;1.909;0;3;1
37686;Gasolio;1.7790000000000001;0;3;1
37686;Excellium Diesel;1.7790000000000001;0;3;1
37686;Benzina;1.659;1;3;1
37686;Excellium Diesel;1.609;1;3;1
37686;Gasolio;1.5290000000000001;1;3;1
20669;Benzina;1.629;0;3;1
20669;Gasolio;1.5290000000000001;0;3;1
42195;Benzina;1.919;0;3;1
42195;Gasolio;1.7890000000000001;0;3;1
42195;Benzina;1.669;1;3;1
42195;Excellium Diesel;1.619;1;3;1
42195;Gasolio;1.5390000000000001;1;3;1
42195;Excellium Diesel;1.869;0;3;1
38614;Metano;0.9990000000000001;0;3;1
4596;GPL;0.6990000000000001;0;3;1
36973;Gasolio;1.639;1;3;1
36973;Benzina;1.649;1;3;1
4596;Hi-Q Diesel;1.7990000000000002;1;3;1
4596;Benzina;1.557;1;3;1
4596;Gasolio;1.499;1;3;1
18803;Metano;1.0190000000000001;0;3;1
8387;Benzina Plus 98;0.001;1;3;1
8387;Gasolio Oro Diesel;0.001;1;3;1
31794;GPL;0.629;0;3;1
43782;Supreme Diesel;1.5390000000000001;1;3;1
43782;Benzina;1.419;1;3;1
43782;Gasolio;1.409;1;3;1
12095;Hi-Q Diesel;1.784;0;3;1
22981;Excellium Diesel;1.579;1;3;1
31794;Blue Super;1.879;0;3;1
31794;Gasolio;1.5490000000000002;1;3;1
31794;Blue Diesel;1.649;1;3;1
31794;Benzina;1.579;1;3;1
31794;Gasolio;1.749;0;3;1
31794;Blue Diesel;1.749;0;3;1
31794;Benzina;1.7790000000000001;0;3;1
31794;Blue Super;1.679;1;3;1
21480;Benzina;1.7480000000000002;0;3;1
21480;Gasolio Premium;1.818;0;3;1
21480;Gasolio;1.6880000000000002;0;3;1
21480;Benzina;1.556;1;3;1
21480;Gasolio;1.496;1;3;1
21480;Gasolio Premium;1.626;1;3;1
4028;Metano;1.0190000000000001;0;3;1
12095;Benzina;1.579;0;3;1
12095;Gasolio;1.5090000000000001;0;3;1
40239;Gasolio Premium;1.649;1;3;1
40853;Benzina;1.639;0;3;1
40853;Gasolio;1.5290000000000001;0;3;1
40239;Benzina;1.659;1;3;1
40239;Gasolio;1.5290000000000001;1;3;1
5748;GPL;0.72;0;3;1
