PMID	title	date	location	doi
15686594	A novel pancoronavirus RT-PCR assay: frequent detection of human coronavirus NL63in children hospitalized with respiratory tract infections in Belgium.	2005 Feb 1	England	10.1186/1471-2334-5-6
15684529	Bioactive pyranoxanthones from the roots of Calophyllum blancoi.	2005 Feb	Japan	10.1248/cpb.53.244
15683993	[Prokaryotic expression of SARS coronavirus spike protein and construction of itsDNA vaccine].	2005 Jan	China	
15683852	Critical roles of platelets in lipopolysaccharide-induced lethality: effects ofglycyrrhizin and possible strategy for acute respiratory distress syndrome.	2005 Mar	Netherlands	10.1016/j.intimp.2004.11.004
15683230	Folding of the SARS coronavirus spike glycoprotein immunological fragment(SARS_S1b): thermodynamic and kinetic investigation correlating withthree-dimensional structural modeling.	2005 Feb 8	United States	10.1021/bi0482396
15681462	Civets are equally susceptible to experimental infection by two different severeacute respiratory syndrome coronavirus isolates.	2005 Feb	United States	10.1128/JVI.79.4.2620-2625.2005
15681451	Role of nucleotides immediately flanking the transcription-regulating sequencecore in coronavirus subgenomic mRNA synthesis.	2005 Feb	United States	10.1128/JVI.79.4.2506-2516.2005
15681410	Inhibition of Beta interferon induction by severe acute respiratory syndromecoronavirus suggests a two-step model for activation of interferon regulatoryfactor 3.	2005 Feb	United States	10.1128/JVI.79.4.2079-2086.2005
15681402	Identification of a novel coronavirus in bats.	2005 Feb	United States	10.1128/JVI.79.4.2001-2009.2005
15681346	Virology. One virus, three names, three claims.	2005 Jan 28	United States	10.1126/science.307.5709.493
15681072	Molecular analysis of S gene of spike glycoprotein of winter dysentery bovinecoronavirus circulated in Korea during 2002-2003.	2005 Mar	Netherlands	10.1016/j.virusres.2004.07.003
15680415	Programmed ribosomal frameshifting in decoding the SARS-CoV genome.	2005 Feb 20	United States	10.1016/j.virol.2004.11.038
15680149	Evaluation of a safe and sensitive Spike protein-based immunofluorescence assayfor the detection of antibody responses to SARS-CoV.	2005 Jan	Netherlands	10.1016/j.jim.2004.10.012
15679267	Pathogenesis of enterotropic mouse hepatitis virus in immunocompetent andimmunodeficient mice.	2004 Dec	United States	
15673319	Acute renal impairment in coronavirus-associated severe acute respiratorysyndrome.	2005 Feb	United States	10.1111/j.1523-1755.2005.67130.x
15671750	Severe acute respiratory syndrome, a pathological immune response to the newcoronavirus--implications for understanding of pathogenesis, therapy, design ofvaccines, and epidemiology.	2004	United States	10.1089/vim.2004.17.535
15671749	Structure-based preliminary analysis of immunity and virulence of SARScoronavirus.	2004	United States	10.1089/vim.2004.17.528
15667124	Virtual screening of novel noncovalent inhibitors for SARS-CoV 3C-likeproteinase.	2005 Jan-Feb	United States	10.1021/ci049809b
15666874	Avian infectious bronchitis virus: a possible cause of reduced fertility in therooster.	2004 Dec	United States	10.1637/7192-040808R1
15664067	Rapid differentiation of avian infectious bronchitis virus isolates by sample toresidual ratio quantitation using real-time reverse transcriptase-polymerasechain reaction.	2005 Mar	Netherlands	10.1016/j.jviromet.2004.11.022
15664058	A mRNA PCR for the diagnosis of feline infectious peritonitis.	2005 Mar	Netherlands	10.1016/j.jviromet.2004.11.012
15663874	Antibodies to SARS coronavirus in civets.	2004 Dec	United States	10.3201/eid1012.040520
15663861	SARS molecular detection external quality assurance.	2004 Dec	United States	10.3201/eid1012.040416
15663079	Viral and bacterial pathogens in bovine respiratory disease in Finland.	2004	England	10.1186/1751-0147-45-193
15661381	Intragastric administration of Lactobacillus casei expressing transmissiblegastroentritis coronavirus spike glycoprotein induced specific antibodyproduction.	2005 Feb 3	Netherlands	10.1016/j.vaccine.2004.09.015
15661153	In vitro assembled, recombinant infectious bronchitis viruses demonstrate thatthe 5a open reading frame is not essential for replication.	2005 Feb 5	United States	10.1016/j.virol.2004.10.045
15661082	Molecular mechanisms of severe acute respiratory syndrome (SARS).	2005 Jan 20	England	10.1186/1465-9921-6-8
15660517	Severe acute respiratory syndrome (SARS): a year in review.	2005	United States	10.1146/annurev.med.56.091103.134135
15660214	Expression of SARS-coronavirus nucleocapsid protein in Escherichia coli andLactococcus lactis for serodiagnosis and mucosal vaccination.	2005 Aug	Germany	10.1007/s00253-004-1869-y
15659574	A molecular beacon, bead-based assay for the detection of nucleic acids by flowcytometry.	2005 Jan 19	England	10.1093/nar/gni015
15659121	Enzymatic activity characterization of SARS coronavirus 3C-like protease byfluorescence resonance energy transfer technique.	2005 Jan	United States	10.1111/j.1745-7254.2005.00010.x
15657466	Characterization of cytokine/chemokine profiles of severe acute respiratorysyndrome.	2005 Apr 15	United States	10.1164/rccm.200407-857OC
15655773	Development and characterization of a severe acute respiratorysyndrome-associated coronavirus-neutralizing human monoclonal antibody thatprovides effective immunoprophylaxis in mice.	2005 Feb 15	United States	10.1086/427242
15655772	Human coronavirus NL63 infection in Canada.	2005 Feb 15	United States	10.1086/426869
15655771	Association between a novel human coronavirus and Kawasaki disease.	2005 Feb 15	United States	10.1086/428291
15655770	Evidence of a novel human coronavirus that is associated with respiratory tractdisease in infants and young children.	2005 Feb 15	United States	10.1086/428138
15655769	Coronaviruses in the limelight.	2005 Feb 15	United States	10.1086/428510
15655079	Expression profile of immune response genes in patients with Severe AcuteRespiratory Syndrome.	2005 Jan 18	England	10.1186/1471-2172-6-2
15654797	Severe acute respiratory syndrome associated coronavirus is detected inintestinal tissues of fatal cases.	2005 Jan	United States	10.1111/j.1572-0241.2005.40377.x
15654751	The aromatic domain of the coronavirus class I viral fusion protein inducesmembrane permeabilization: putative role during viral entry.	2005 Jan 25	United States	10.1021/bi048515g
15652970	Inhibition of SARS-CoV replication by siRNA.	2005 Jan	Netherlands	10.1016/j.antiviral.2004.09.005
15651759	Increased sensitivity of SARS-coronavirus to a combination of human type I andtype II interferons.	2004 Dec	England	
15650780	[Sero-epidemiological characteristics of antibody to SARS-associated coronavirusin Gansu Province].	2004 Dec	China	
15650778	[Preparation and characterization of monoclonal antibodies againstSARS-associated coronavirus nucleocapsid protein].	2004 Dec	China	
15650225	Nitric oxide inhibits the replication cycle of severe acute respiratory syndromecoronavirus.	2005 Feb	United States	10.1128/JVI.79.3.1966-1969.2005
15650214	Identification of two neutralizing regions on the severe acute respiratorysyndrome coronavirus spike glycoprotein produced from the mammalian expressionsystem.	2005 Feb	United States	10.1128/JVI.79.3.1906-1910.2005
15650199	Identification of the membrane-active regions of the severe acute respiratorysyndrome coronavirus spike membrane glycoprotein using a 16/18-mer peptide scan:implications for the viral fusion mechanism.	2005 Feb	United States	10.1128/JVI.79.3.1743-1752.2005
15650189	Molecular and biological characterization of human monoclonal antibodies bindingto the spike and nucleocapsid proteins of severe acute respiratory syndromecoronavirus.	2005 Feb	United States	10.1128/JVI.79.3.1635-1644.2005
15650185	Complete genomic sequence of human coronavirus OC43: molecular clock analysissuggests a relatively recent zoonotic coronavirus transmission event.	2005 Feb	United States	10.1128/JVI.79.3.1595-1604.2005
15649859	Evaluation of a real-time polymerase-chain reaction for severe acute respiratorysyndrome (SARS) associated coronavirus in patients with hospitalised exacerbationof COPD.	2004 Nov 29	England	
15648064	New human coronavirus, HCoV-NL63, associated with severe lower respiratory tractdisease in Australia.	2005 Mar	United States	10.1002/jmv.20288
